step,time_s,inventory_mol,input_mol,residual_mol,inventory_rate_mol_s,input_rate_mol_s,balance_rate_mol_s,predicted_rate_mol_s,predicted_integral_mol,loop_inventory_mol,supplied_inventory,current_A,capacity_Ah
0.000000000000000000e+00,5.000000000000000000e+01,2.669565878850000407e-01,0.000000000000000000e+00,2.220446049250313081e-16,1.035064450885943343e-18,0.000000000000000000e+00,1.035064450885943343e-18,-4.625972852313734545e-21,1.813877962928832208e-17,2.669565878850006513e-01,2.766810063355795450e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.500000000000000000e+01,2.669565878850001517e-01,0.000000000000000000e+00,3.330669073875469621e-16,1.306272768255006662e-18,0.000000000000000000e+00,1.306272768255006662e-18,2.556337039403227496e-20,1.819112312314261843e-17,2.669565878850007623e-01,2.766810063355795450e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.000000000000000000e+01,2.669565878850000962e-01,0.000000000000000000e+00,2.775557561562891351e-16,1.404272899657349302e-18,0.000000000000000000e+00,1.404272899657349302e-18,-1.123448703366403053e-19,1.797416937328609835e-17,2.669565878850007068e-01,2.766810063355795450e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.500000000000000000e+01,2.669565878849999851e-01,0.000000000000000000e+00,1.665334536937734811e-16,2.769434126948811314e-18,0.000000000000000000e+00,2.769434126948811314e-18,1.728438074965095065e-18,2.201440238485723525e-17,2.669565878850004848e-01,2.766810063355794602e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.000000000000000000e+01,2.669565878850002627e-01,0.000000000000000000e+00,4.440892098500626162e-16,3.062248753680755123e-18,0.000000000000000000e+00,3.062248753680755123e-18,1.924598907864533220e-18,3.114699484193130288e-17,2.669565878850005403e-01,2.766810063355794602e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.500000000000000000e+01,2.669565878849999296e-01,0.000000000000000000e+00,1.110223024625156540e-16,1.063702369398824266e-18,0.000000000000000000e+00,1.063702369398824266e-18,-1.981686780623631893e-19,3.546307041643672873e-17,2.669565878850004292e-01,2.766810063355794602e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,8.000000000000000000e+01,2.669565878849999296e-01,0.000000000000000000e+00,1.110223024625156540e-16,8.531957423574149859e-19,0.000000000000000000e+00,8.531957423574149859e-19,-2.316321150115236237e-19,3.438856843375201247e-17,2.669565878850003737e-01,2.766810063355793755e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,8.500000000000000000e+01,2.669565878850000407e-01,0.000000000000000000e+00,2.220446049250313081e-16,1.528239102876951783e-18,0.000000000000000000e+00,1.528239102876951783e-18,-1.095036646368377605e-19,3.353572898463111209e-17,2.669565878850001517e-01,2.766810063355793755e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,9.000000000000000000e+01,2.669565878850003182e-01,0.000000000000000000e+00,4.996003610813204432e-16,2.161430529030598665e-18,0.000000000000000000e+00,2.161430529030598665e-18,1.007180552664247537e-18,3.577992120469963884e-17,2.669565878850002627e-01,2.766810063355793332e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,9.500000000000000000e+01,2.669565878850002072e-01,0.000000000000000000e+00,3.885780586188047891e-16,3.106754338712578661e-18,0.000000000000000000e+00,3.106754338712578661e-18,2.134285117786528790e-18,4.363358538082657850e-17,2.669565878850005958e-01,2.766810063355794602e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+02,2.669565878850000962e-01,0.000000000000000000e+00,2.775557561562891351e-16,2.761592984145804356e-18,0.000000000000000000e+00,2.761592984145804356e-18,2.187303074438625228e-18,5.443755586138946663e-17,2.669565878850005403e-01,2.766810063355795450e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.050000000000000000e+02,2.669565878849999851e-01,0.000000000000000000e+00,1.665334536937734811e-16,3.455572555608677089e-18,0.000000000000000000e+00,3.455572555608677089e-18,2.159195618801611772e-18,6.530380259449005682e-17,2.669565878850004292e-01,2.766810063355793755e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.100000000000000000e+02,2.669565878849999851e-01,0.000000000000000000e+00,1.665334536937734811e-16,3.074106749426329656e-18,0.000000000000000000e+00,3.074106749426329656e-18,1.749490938851916835e-18,7.507551898862387622e-17,2.669565878850003737e-01,2.766810063355793755e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.150000000000000000e+02,2.669565878850002072e-01,0.000000000000000000e+00,3.885780586188047891e-16,2.396501634178073937e-18,0.000000000000000000e+00,2.396501634178073937e-18,1.147127314209646566e-18,8.231706462127778742e-17,2.669565878850002627e-01,2.766810063355794179e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.200000000000000000e+02,2.669565878850001517e-01,0.000000000000000000e+00,3.330669073875469621e-16,2.179146058116547789e-18,0.000000000000000000e+00,2.179146058116547789e-18,8.337521066062951476e-19,8.726926317331763987e-17,2.669565878850001517e-01,2.766810063355795873e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.250000000000000000e+02,2.669565878850000962e-01,0.000000000000000000e+00,2.775557561562891351e-16,1.449708179226529119e-18,0.000000000000000000e+00,1.449708179226529119e-18,1.507945932567195458e-19,8.973062992297518055e-17,2.669565878850002072e-01,2.766810063355795450e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.300000000000000000e+02,2.669565878850003182e-01,0.000000000000000000e+00,4.996003610813204432e-16,1.625189287143104996e-18,0.000000000000000000e+00,1.625189287143104996e-18,5.410816747897996573e-20,9.024288682481443029e-17,2.669565878850001517e-01,2.766810063355794602e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.350000000000000000e+02,2.669565878850002627e-01,0.000000000000000000e+00,4.440892098500626162e-16,1.462615887446609589e-18,0.000000000000000000e+00,1.462615887446609589e-18,2.160020386258331576e-19,9.091816234007646387e-17,2.669565878850000962e-01,2.766810063355794179e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.400000000000000000e+02,2.669565878850003182e-01,0.000000000000000000e+00,4.996003610813204432e-16,1.779505414151369259e-18,0.000000000000000000e+00,1.779505414151369259e-18,1.606756043654039951e-19,9.185985644755455136e-17,2.669565878850001517e-01,2.766810063355794602e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.450000000000000000e+02,2.669565878850003182e-01,0.000000000000000000e+00,4.996003610813204432e-16,1.729981660919860682e-18,0.000000000000000000e+00,1.729981660919860682e-18,2.398494924778435819e-19,9.286116918966267030e-17,2.669565878850003182e-01,2.766810063355795450e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.500000000000000000e+02,2.669565878850001517e-01,0.000000000000000000e+00,3.330669073875469621e-16,1.850717964479793020e-18,0.000000000000000000e+00,1.850717964479793020e-18,3.075399856056179134e-19,9.422964288487132712e-17,2.669565878850002072e-01,2.766810063355795026e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.550000000000000000e+02,2.669565878850000962e-01,0.000000000000000000e+00,2.775557561562891351e-16,1.525756492669610624e-18,0.000000000000000000e+00,1.525756492669610624e-18,3.490124068160978253e-19,9.587102386592561801e-17,2.669565878850001517e-01,2.766810063355794602e-06,0.000000000000000000e+00,0.000000000000000000e+00
