revision,case,nx,nr,tol,status,initial_inventory_mol,max_abs_residual_mol,relative_max,final_residual_mol,max_rate_mol_s,max_rate_prediction_error_mol_s,max_supplied_residual_mol,max_integrated_rate_closure_mol,quadrature_disagreement_mol,runtime_seconds,error
baseline,dfn_control,40,40,1e-10,completed,0.2669565878849986,6.994405055138486e-15,2.620053361691746e-14,6.994405055138486e-15,3.6538286228360866e-18,3.6538286228360866e-18,5.717648576819556e-15,6.994405055138486e-15,0.0,7.762397416983731,
baseline,dfn_control,80,20,1e-10,completed,0.2669565878849999,3.7192471324942744e-15,1.3932029780424298e-14,-3.3306690738754696e-15,2.256547808423701e-18,2.256547808423701e-18,5.551115123125783e-15,3.7192471324942744e-15,0.0,8.470088834059425,
baseline,dfn_control,80,80,1e-10,completed,0.26695658788500054,3.425038030968608e-14,1.2829943842569805e-13,3.425038030968608e-14,9.384669310456795e-18,9.384669310456795e-18,3.530509218307998e-14,3.425038030968608e-14,0.0,28.441663125064224,
baseline,half,20,20,1e-06,completed,9.754383258831857e-05,1.6391854911049003e-11,1.6804604121134378e-07,-2.1884198893686903e-12,1.9950761034856912e-14,8.040195554015429e-22,1.8017252775921126e-10,2.3429436284933184e-14,2.5029347646345994e-15,1.374855333007872,
baseline,half,20,20,1e-08,completed,9.754383258831857e-05,1.6377432691120275e-11,1.67898187476812e-07,-2.181280662008362e-12,7.849832790423069e-14,8.503416697045124e-22,1.804193454893108e-10,2.3392837508808313e-12,2.1602918221488233e-14,1.38142266694922,
baseline,half,20,20,1e-10,completed,9.754383258831857e-05,1.6385250466410253e-11,1.6797833375651553e-07,-2.1917249848238222e-12,1.3706531328185295e-14,9.000931634480529e-22,1.8028246298636553e-10,2.88747923765351e-14,6.520361759721884e-16,1.5294937500730157,
baseline,half,20,80,1e-10,completed,9.754383258831859e-05,1.6383546900194208e-11,1.6796086913398797e-07,-2.1882547247202393e-12,1.394176966902134e-14,1.222055808891043e-20,1.8029776704213125e-10,3.6315840550228924e-14,4.562696603726133e-15,4.057652208022773,
baseline,half,40,40,1e-10,reproduction_failure,,,,,,,,,,0.4020867500221357,SolverError('IDA_ERR_FAIL: Error test failures occurred too many times during one step or minimum step size was reached')
baseline,half,80,20,1e-10,reproduction_failure,,,,,,,,,,0.3354086250765249,SolverError('IDA_ERR_FAIL: Error test failures occurred too many times during one step or minimum step size was reached')
baseline,half,80,80,1e-10,reproduction_failure,,,,,,,,,,0.5732492919778451,SolverError('IDA_ERR_FAIL: Error test failures occurred too many times during one step or minimum step size was reached')
main,basic_constant,20,20,1e-06,completed,0.2669565878849998,4.884981308350689e-15,1.829878538324386e-14,4.829470157119431e-15,3.5979288609305944e-09,2.868651773724182e-18,4.658681209898652e-20,2.8059521159280723e-07,3.9840587414202344e-08,2.1647835000185296,
main,basic_constant,20,20,1e-08,completed,0.2669565878849998,4.9960036108132044e-15,1.871466686922667e-14,4.9404924595819466e-15,1.0993189621414864e-10,2.868651773724182e-18,4.573977915173222e-20,1.945788159928135e-09,5.438283128616052e-10,2.2362302499823272,
main,basic_constant,20,20,1e-10,completed,0.2669565878849998,4.829470157119431e-15,1.809084464025245e-14,4.829470157119431e-15,5.558648319818846e-13,2.8686517737241914e-18,4.616329562535937e-20,3.783857020219378e-12,3.902381566783916e-13,2.4050079999724403,
main,basic_constant,20,80,1e-10,completed,0.2669565878849999,7.66053886991358e-15,2.8695822532814226e-14,7.382983113757291e-15,2.2143831500441927e-12,7.571592650075612e-18,7.242131699024268e-20,4.00891201485737e-11,8.692273032290829e-13,7.1194647090742365,
main,basic_constant,40,40,1e-10,completed,0.2669565878849993,7.438494264988549e-15,2.7864059560848652e-14,-7.216449660063518e-15,7.14593620008367e-13,3.6334665799793225e-18,7.284483346386983e-20,1.013303778969149e-11,1.9551333096876613e-12,7.563626209041104,
main,basic_constant,80,20,1e-10,completed,0.2669565878850017,3.2751579226442118e-15,1.2268503836492954e-14,2.886579864025407e-15,4.379146920302848e-13,2.868651773737408e-18,4.743384504624082e-20,3.626707805393767e-12,7.253554549363702e-14,8.381474041962065,
main,basic_constant,80,80,1e-10,completed,0.26695658788500054,7.049916206369744e-15,2.6408474359908676e-14,6.994405055138486e-15,1.5292961057125458e-12,4.893036495842597e-18,6.860966872759833e-20,1.527197092065701e-11,6.9236829954955286e-12,29.076712667010725,
main,basic_variable,20,20,1e-06,completed,0.2669565878849998,0.006518386995949033,0.02441740452105658,0.006518386995949033,4.516774163292502e-06,2.8686517737242253e-18,6.755832054988362e-08,1.1608229528413394e-06,1.0486156719665546e-06,2.2666316659888253,
