step,time_s,inventory_mol,input_mol,residual_mol,inventory_rate_mol_s,input_rate_mol_s,balance_rate_mol_s,predicted_rate_mol_s,predicted_integral_mol,loop_inventory_mol,supplied_inventory,current_A,capacity_Ah
0.000000000000000000e+00,5.000000000000000000e+01,9.754383254509986099e-05,0.000000000000000000e+00,-6.381085438690592415e-15,-1.333202248317219902e-16,0.000000000000000000e+00,-1.333202248317219902e-16,-1.333198723857759122e-16,-6.569825718954832355e-15,9.754383254509996941e-05,1.355988416090971223e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.500000000000000000e+01,9.754383254460635927e-05,0.000000000000000000e+00,-6.874587162551681896e-15,-1.268622705326086008e-16,0.000000000000000000e+00,-1.268622705326086008e-16,-1.268619518248011796e-16,-7.220280279481274851e-15,9.754383254460631861e-05,1.355988416170162976e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.000000000000000000e+01,9.754383254411276268e-05,0.000000000000000000e+00,-7.368183754102863858e-15,-1.204045769588720448e-16,0.000000000000000000e+00,-1.204045769588720448e-16,-1.204040312637627464e-16,-7.838445237202685294e-15,9.754383254411269492e-05,1.355988416249355000e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.500000000000000000e+01,9.754383254361928806e-05,0.000000000000000000e+00,-7.861658372909641201e-15,-1.139466577785289554e-16,0.000000000000000000e+00,-1.139466577785289554e-16,-1.139461107026605141e-16,-8.424320592118743409e-15,9.754383254361922030e-05,1.355988416328548921e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.000000000000000000e+01,9.754383254312571857e-05,0.000000000000000000e+00,-8.355227859406511026e-15,-1.074886091686049484e-16,0.000000000000000000e+00,-1.074886091686049484e-16,-1.074881901414944827e-16,-8.977906344229130494e-15,9.754383254312582699e-05,1.355988416407742842e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.500000000000000000e+01,9.754383254263217619e-05,0.000000000000000000e+00,-8.848770240849068713e-15,-1.010307336677396584e-16,0.000000000000000000e+00,-1.010307336677396584e-16,-1.010302695802647138e-16,-9.499202493533527851e-15,9.754383254263223040e-05,1.355988416486935408e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,8.000000000000000000e+01,9.754383254209344969e-05,0.000000000000000000e+00,-9.387496747829959798e-15,-9.929422435970912537e-17,0.000000000000000000e+00,-9.929422435970912537e-17,-9.929394629383679013e-17,-1.000001303321878206e-14,9.754383254209350390e-05,1.355988416573381016e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,8.500000000000000000e+01,9.754383254152935285e-05,0.000000000000000000e+00,-9.951593585647011686e-15,-1.002140484535056586e-16,0.000000000000000000e+00,-1.002140484535056586e-16,-1.002135241173140487e-16,-1.049878170924665940e-14,9.754383254152946127e-05,1.355988416663907832e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,9.000000000000000000e+01,9.754383254096518825e-05,0.000000000000000000e+00,-1.051575818609984392e-14,-1.011334851348280060e-16,0.000000000000000000e+00,-1.011334851348280060e-16,-1.011331019408013776e-16,-1.100214827439194860e-14,9.754383254096522890e-05,1.355988416754432479e-04,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,9.500000000000000000e+01,9.754383254040105075e-05,0.000000000000000000e+00,-1.107989568149836401e-14,-1.020531854554790374e-16,0.000000000000000000e+00,-1.020531854554790374e-16,-1.020526797642987645e-16,-1.151011272865469859e-14,9.754383254040106430e-05,1.355988416844957668e-04,0.000000000000000000e+00,0.000000000000000000e+00
