step,time_s,inventory_mol,input_mol,residual_mol,inventory_rate_mol_s,input_rate_mol_s,balance_rate_mol_s,predicted_rate_mol_s,predicted_integral_mol,loop_inventory_mol,supplied_inventory,current_A,capacity_Ah
0.000000000000000000e+00,5.000000000000000000e+01,2.669565878850000407e-01,0.000000000000000000e+00,2.220446049250313081e-16,1.035064450870437295e-18,0.000000000000000000e+00,1.035064450870437295e-18,-4.625972867807455762e-21,1.813877962830954907e-17,2.669565878850006513e-01,2.766810063355795450e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.500000000000000000e+01,2.669565878850001517e-01,0.000000000000000000e+00,3.330669073875469621e-16,1.306272768245786850e-18,0.000000000000000000e+00,1.306272768245786850e-18,2.556337038483095206e-20,1.819112312210210781e-17,2.669565878850007623e-01,2.766810063355795450e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.000000000000000000e+01,2.669565878850000962e-01,0.000000000000000000e+00,2.775557561562891351e-16,1.404272899652825677e-18,0.000000000000000000e+00,1.404272899652825677e-18,-1.123448703411516036e-19,1.797416937221130619e-17,2.669565878850007068e-01,2.766810063355795450e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,6.500000000000000000e+01,2.669565878849999851e-01,0.000000000000000000e+00,1.665334536937734811e-16,2.769434126947215103e-18,0.000000000000000000e+00,2.769434126947215103e-18,1.728438074963501935e-18,2.201440238376718356e-17,2.669565878850004848e-01,2.766810063355794602e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.000000000000000000e+01,2.669565878850002627e-01,0.000000000000000000e+00,4.440892098500626162e-16,3.062248753680737405e-18,0.000000000000000000e+00,3.062248753680737405e-18,1.924598907864518583e-18,3.114699484083723293e-17,2.669565878850005403e-01,2.766810063355794602e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.500000000000000000e+01,2.669565878849999296e-01,0.000000000000000000e+00,1.110223024625156540e-16,1.063702369398787288e-18,0.000000000000000000e+00,1.063702369398787288e-18,-1.981686780624109524e-19,3.546307041534250470e-17,2.669565878850004292e-01,2.766810063355794602e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,8.000000000000000000e+01,2.669565878849999296e-01,0.000000000000000000e+00,1.110223024625156540e-16,8.531957423571006742e-19,0.000000000000000000e+00,8.531957423571006742e-19,-2.316321150118302318e-19,3.438856843265690097e-17,2.669565878850003737e-01,2.766810063355793755e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,8.500000000000000000e+01,2.669565878850000407e-01,0.000000000000000000e+00,2.220446049250313081e-16,1.528239102876871665e-18,0.000000000000000000e+00,1.528239102876871665e-18,-1.095036646369271236e-19,3.353572898353500835e-17,2.669565878850001517e-01,2.766810063355793755e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,9.000000000000000000e+01,2.669565878850003182e-01,0.000000000000000000e+00,4.996003610813204432e-16,2.161430529030684947e-18,0.000000000000000000e+00,2.161430529030684947e-18,1.007180552664333818e-18,3.577992120360352278e-17,2.669565878850002627e-01,2.766810063355793332e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,9.500000000000000000e+01,2.669565878850002072e-01,0.000000000000000000e+00,3.885780586188047891e-16,3.106754338712757387e-18,0.000000000000000000e+00,3.106754338712757387e-18,2.134285117786696731e-18,4.363358537973109723e-17,2.669565878850005958e-01,2.766810063355794602e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+02,2.669565878850000962e-01,0.000000000000000000e+00,2.775557561562891351e-16,2.761592984146020060e-18,0.000000000000000000e+00,2.761592984146020060e-18,2.187303074438836695e-18,5.443755586029492829e-17,2.669565878850005403e-01,2.766810063355795450e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.050000000000000000e+02,2.669565878849999851e-01,0.000000000000000000e+00,1.665334536937734811e-16,3.455572555608871222e-18,0.000000000000000000e+00,3.455572555608871222e-18,2.159195618801813609e-18,6.530380259339654769e-17,2.669565878850004292e-01,2.766810063355793755e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.100000000000000000e+02,2.669565878849999851e-01,0.000000000000000000e+00,1.665334536937734811e-16,3.074106749426452916e-18,0.000000000000000000e+00,3.074106749426452916e-18,1.749490938852039324e-18,7.507551898753118060e-17,2.669565878850003737e-01,2.766810063355793755e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.150000000000000000e+02,2.669565878850002072e-01,0.000000000000000000e+00,3.885780586188047891e-16,2.396501634178095507e-18,0.000000000000000000e+00,2.396501634178095507e-18,1.147127314209675070e-18,8.231706462018546158e-17,2.669565878850002627e-01,2.766810063355794179e-06,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.200000000000000000e+02,2.669565878850001517e-01,0.000000000000000000e+00,3.330669073875469621e-16,2.179146058116413744e-18,0.000000000000000000e+00,2.179146058116413744e-18,8.337521066061636066e-19,8.726926317222505519e-17,2.669565878850001517e-01,2.766810063355795873e-06,0.000000000000000000e+00,0.000000000000000000e+00
